Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,23.843750,24.500000,23.843750,24.312500,12.781138,5055000
2000-01-04,24.312500,24.875000,24.000000,24.000000,12.616854,6181400
2000-01-05,24.000000,25.093750,24.000000,24.562500,12.912564,6398600
2000-01-06,25.281250,26.125000,25.281250,25.812500,13.569691,5140600
2000-01-07,26.375000,27.562500,26.375000,26.656250,14.013257,6360200
2000-01-10,26.656250,27.281250,25.750000,25.781250,13.553267,3682200
2000-01-11,25.781250,26.593750,25.375000,25.375000,13.339697,3945600
2000-01-12,25.562500,26.156250,25.562500,25.812500,13.569691,3401000
2000-01-13,26.031250,26.687500,26.031250,26.093750,13.717546,3129400
2000-01-14,26.093750,26.437500,25.937500,25.968750,13.651835,3044400
2000-01-18,25.875000,25.875000,24.937500,24.968750,13.292485,4054200
2000-01-19,24.968750,25.343750,24.656250,24.656250,13.126122,3424600
2000-01-20,24.656250,24.968750,23.531250,23.562500,12.543852,4279200
2000-01-21,23.562500,23.968750,22.812500,23.687500,12.610397,5000000
2000-01-24,23.625000,23.625000,22.531250,22.656250,12.061399,5385600
2000-01-25,22.500000,22.500000,21.281250,21.812500,11.612207,6084200
2000-01-26,21.812500,22.843750,21.687500,22.468750,11.961576,4188200
2000-01-27,22.468750,22.781250,22.000000,22.281250,11.861754,3340800
2000-01-28,22.281250,22.593750,21.750000,21.750000,11.578939,4851600
2000-01-31,21.750000,21.968750,21.218750,21.218750,11.296122,3677000
2000-02-01,21.375000,22.031250,21.375000,21.593750,11.495761,2930200
2000-02-02,21.593750,22.375000,21.437500,21.718750,11.562298,2933600
2000-02-03,21.625000,21.625000,21.062500,21.156250,11.262842,4343400
2000-02-04,21.156250,21.406250,20.625000,21.156250,11.262842,4122000
2000-02-07,20.906250,20.906250,20.375000,20.625000,10.980030,4089800
2000-02-08,20.625000,20.750000,20.000000,20.500000,10.913475,5848400
2000-02-09,20.500000,20.593750,19.562500,19.562500,10.414390,5934800
2000-02-10,19.562500,19.781250,18.812500,19.031250,10.131567,5807400
2000-02-11,18.937500,18.937500,17.437500,18.000000,9.582569,11944800
2000-02-14,18.125000,19.468750,18.125000,19.312500,10.281298,6787800
2000-02-15,19.312500,20.375000,19.312500,20.000000,10.647300,6048200
2000-02-16,20.000000,20.312500,19.406250,19.593750,10.431025,3881400
2000-02-17,19.562500,19.562500,18.843750,19.343750,10.297932,3824200
2000-02-18,19.187500,19.187500,18.687500,18.843750,10.031753,3017800
2000-02-22,18.843750,19.437500,18.750000,19.156250,10.198113,4028800
2000-02-23,19.156250,19.343750,18.593750,18.906250,10.065022,4894400
2000-02-24,18.906250,18.937500,18.125000,18.125000,9.649114,4488200
2000-02-25,18.125000,18.750000,17.937500,18.000000,9.582569,4139800
2000-02-28,18.000000,18.312500,17.687500,17.781250,9.466117,3319200
2000-02-29,17.781250,18.218750,17.500000,17.531250,9.333022,4805800
2000-03-01,17.531250,17.906250,17.437500,17.437500,9.283113,4841600
2000-03-02,17.437500,17.500000,17.093750,17.218750,9.166657,3956000
2000-03-03,17.250000,18.656250,17.250000,18.187500,9.682386,4805800
2000-03-06,18.218750,19.000000,18.218750,18.343750,9.765570,5260400
2000-03-07,18.250000,18.250000,16.750000,16.906250,9.000292,8780800
2000-03-08,17.312500,18.218750,17.312500,17.468750,9.299749,5772000
2000-03-09,17.468750,17.687500,17.125000,17.625000,9.382933,4904400
2000-03-10,17.625000,18.375000,17.406250,17.843750,9.499389,5335400
2000-03-13,17.843750,18.062500,17.500000,17.812500,9.482749,3304800
2000-03-14,17.875000,18.593750,17.875000,17.906250,9.532660,6545400
2000-03-15,17.906250,19.531250,17.812500,19.125000,10.181479,6827400
2000-03-16,19.468750,20.812500,19.468750,20.343750,10.830302,7723400
2000-03-17,20.156250,20.156250,19.531250,19.812500,10.547479,4798800
2000-03-20,19.812500,20.281250,19.218750,19.250000,10.248023,4407600
2000-03-21,19.250000,20.031250,19.218750,19.906250,10.597386,3065800
2000-03-22,19.812500,19.812500,19.375000,19.468750,10.364482,2487200
2000-03-23,19.625000,20.093750,19.625000,19.781250,10.530843,3596000
2000-03-24,19.781250,20.000000,19.625000,19.750000,10.514208,2277600
2000-03-27,19.750000,20.312500,19.500000,19.531250,10.397753,2241200
2000-03-28,19.531250,19.562500,19.156250,19.156250,10.198113,2619200
2000-03-29,19.156250,19.781250,18.843750,19.500000,10.381117,3778000
2000-03-30,19.500000,20.656250,19.437500,20.375000,10.846938,4877800
2000-03-31,20.375000,20.562500,19.656250,19.718750,10.497569,4850400
2000-04-03,19.718750,21.125000,19.718750,20.937500,11.146387,4664200
2000-04-04,20.937500,22.062500,20.437500,21.718750,11.562298,7259000
2000-04-05,21.718750,21.937500,21.125000,21.218750,11.296122,3759200
2000-04-06,21.218750,21.812500,21.125000,21.156250,11.262842,2104800
2000-04-07,21.156250,21.218750,20.625000,20.687500,11.013298,2937400
2000-04-10,20.687500,21.062500,20.562500,20.718750,11.029940,1890600
2000-04-11,20.812500,21.625000,20.812500,21.031250,11.196299,3531600
2000-04-12,21.375000,22.375000,21.375000,21.718750,11.562298,4224400
2000-04-13,21.718750,22.437500,20.906250,21.000000,11.179663,4334200
2000-04-14,21.000000,21.000000,20.093750,20.250000,10.780389,4287000
2000-04-17,20.250000,21.218750,20.125000,20.468750,10.896846,3754200
2000-04-18,20.468750,21.750000,19.687500,20.125000,10.713844,9957200
2000-04-19,19.468750,19.468750,18.500000,18.812500,10.179503,8557000
2000-04-20,18.812500,19.156250,18.750000,19.000000,10.280962,4924600
2000-04-24,19.093750,19.562500,19.093750,19.500000,10.551511,3312200
2000-04-25,19.500000,20.250000,19.500000,20.062500,10.855887,4381400
2000-04-26,20.062500,20.343750,19.750000,19.875000,10.754428,4544400
2000-04-27,19.875000,20.218750,19.468750,20.062500,10.855887,2903600
2000-04-28,20.062500,20.500000,19.625000,19.718750,10.669877,3741600
2000-05-01,19.718750,19.843750,19.406250,19.406250,10.500782,2637800
2000-05-02,19.406250,19.968750,19.031250,19.812500,10.720610,2840800
2000-05-03,19.687500,19.687500,19.250000,19.437500,10.517692,2442600
2000-05-04,19.437500,19.468750,18.937500,18.968750,10.264051,2377000
2000-05-05,18.968750,19.687500,18.937500,19.531250,10.568421,2544600
2000-05-08,19.531250,19.875000,19.281250,19.468750,10.534603,2078600
2000-05-09,19.468750,20.000000,18.968750,19.000000,10.280962,3078800
2000-05-10,19.000000,19.218750,18.781250,19.187500,10.382418,2391400
2000-05-11,19.187500,19.781250,18.843750,19.406250,10.500782,2617600
2000-05-12,19.406250,19.937500,19.312500,19.687500,10.652973,1927800
2000-05-15,19.781250,20.375000,19.781250,20.281250,10.974254,3531000
2000-05-16,20.281250,20.875000,20.093750,20.125000,10.889700,4066000
2000-05-17,20.125000,20.343750,19.937500,20.000000,10.822066,1526600
2000-05-18,20.000000,20.000000,19.250000,19.406250,10.500782,3559200
2000-05-19,19.406250,20.218750,19.250000,20.031250,10.838974,3942200
2000-05-22,20.031250,20.343750,19.812500,20.093750,10.872793,2443000
2000-05-23,20.093750,20.343750,19.500000,19.750000,10.686790,2005600
2000-05-24,19.750000,20.250000,19.375000,19.843750,10.737514,2075000
2000-05-25,19.843750,19.937500,18.906250,19.031250,10.297870,2763800
2000-05-26,19.031250,19.406250,18.937500,19.062500,10.314778,1908200
2000-05-30,19.062500,19.406250,19.062500,19.156250,10.365507,1614200
2000-05-31,19.156250,19.218750,18.937500,19.125000,10.348596,2925400
2000-06-01,19.406250,20.000000,19.406250,19.875000,10.754428,2835400
2000-06-02,20.125000,21.250000,20.125000,20.531250,11.109523,4491400
2000-06-05,20.437500,20.437500,19.281250,20.000000,10.822066,3871600
2000-06-06,19.781250,19.781250,19.093750,19.531250,10.568421,3697400
2000-06-07,19.406250,19.406250,19.062500,19.406250,10.500782,3017600
2000-06-08,19.218750,19.218750,18.843750,19.062500,10.314778,2418800
2000-06-09,19.062500,19.281250,18.875000,19.125000,10.348596,1819600
2000-06-12,19.125000,19.531250,18.843750,19.312500,10.450055,2635600
2000-06-13,19.281250,19.281250,18.500000,18.625000,10.078047,3154800
2000-06-14,18.625000,19.125000,18.562500,18.812500,10.179503,3292600
2000-06-15,18.812500,19.000000,18.406250,18.500000,10.010406,2703400
2000-06-16,18.500000,18.562500,17.937500,17.968750,9.722949,5510400
2000-06-19,17.968750,18.250000,17.562500,17.562500,9.503125,3703200
2000-06-20,17.562500,17.843750,17.500000,17.531250,9.486213,3212400
2000-06-21,17.531250,17.750000,17.468750,17.562500,9.503125,2569000
2000-06-22,17.562500,17.687500,17.156250,17.218750,9.317122,3490200
2000-06-23,17.218750,17.562500,17.218750,17.312500,9.367851,1787400
2000-06-26,17.343750,17.843750,17.343750,17.406250,9.418578,1959000
2000-06-27,17.406250,18.250000,17.343750,17.843750,9.655310,2754800
2000-06-28,18.000000,18.375000,18.000000,18.078100,9.782119,2527200
2000-06-29,17.750000,17.750000,17.375000,17.500000,9.469310,2415400
2000-06-30,17.500000,17.656250,16.906250,16.937500,9.164935,4672000
2000-07-03,17.093750,18.031250,17.093750,18.000000,9.739860,1702400
