Date,Open,High,Low,Close,Adj Close,Volume
2000-05-03,92.250000,95.750000,89.687500,91.125000,75.537003,1931000
2000-05-04,91.375000,92.000000,88.125000,90.187500,74.759842,920700
2000-05-05,89.375000,92.187500,87.437500,89.875000,74.500809,1378100
2000-05-08,86.000000,87.875000,85.750000,87.312500,72.376686,2817000
2000-05-09,86.000000,87.000000,84.750000,85.625000,70.977829,1739100
2000-05-10,83.000000,83.687500,80.562500,81.437500,67.506630,2340600
2000-05-11,81.500000,83.250000,80.437500,80.875000,67.040359,2276000
2000-05-12,80.250000,84.875000,80.250000,83.781197,69.449402,1911200
2000-05-15,83.812500,88.000000,83.812500,87.062500,72.169449,1668900
2000-05-16,88.000000,89.250000,84.000000,85.500000,70.874199,2538400
2000-05-17,85.125000,86.000000,83.000000,84.687500,70.200706,1231000
2000-05-18,83.875000,87.500000,83.875000,85.250000,70.666985,1493000
2000-05-19,84.250000,85.000000,82.125000,84.562500,70.097092,1537500
2000-05-22,83.500000,83.875000,80.625000,82.000000,67.972923,1345600
2000-05-23,81.875000,85.500000,81.500000,82.812500,68.646431,1203900
2000-05-24,82.625000,83.625000,79.500000,80.000000,66.315056,1530200
2000-05-25,80.500000,83.375000,71.937500,73.000000,60.512478,4030100
2000-05-26,73.125000,73.375000,69.375000,69.812500,57.870232,2378100
2000-05-30,71.500000,73.437500,70.625000,72.000000,59.683559,2205300
2000-05-31,72.000000,74.875000,71.125000,73.562500,60.978760,1363800
2000-06-01,74.562500,77.687500,73.625000,76.375000,63.310169,1684900
2000-06-02,84.500000,87.250000,83.500000,86.875000,72.014008,3567900
2000-06-05,86.875000,87.875000,84.500000,84.500000,70.045296,1576600
2000-06-06,84.000000,85.125000,81.750000,83.125000,68.905518,1033200
2000-06-07,82.875000,88.000000,82.375000,86.687500,71.858574,1319900
2000-06-08,86.875000,87.625000,85.062500,85.062500,70.511566,1255000
2000-06-09,85.125000,86.562500,83.250000,83.250000,69.009102,1006800
2000-06-12,83.312500,84.312500,81.750000,83.312500,69.060936,732800
2000-06-13,83.500000,85.750000,82.625000,85.125000,70.563339,773200
2000-06-14,85.187500,90.375000,84.812500,89.937500,74.552635,1953600
2000-06-15,89.937500,90.812500,87.000000,90.250000,74.811646,2120900
2000-06-16,90.250000,91.437500,87.625000,89.937500,74.552635,1792300
2000-06-19,90.187500,93.000000,89.500000,91.625000,75.951462,2092900
2000-06-20,91.500000,93.437500,87.375000,89.000000,73.775475,2362600
2000-06-21,88.000000,88.375000,84.250000,86.625000,71.806770,2875200
2000-06-22,86.625000,86.625000,82.000000,84.250000,69.838058,1480100
2000-06-23,85.250000,87.000000,84.000000,86.000000,71.288666,1616700
2000-06-26,86.750000,88.000000,85.750000,87.750000,72.739326,1175700
2000-06-27,87.750000,89.375000,87.625000,88.312500,73.205597,1175700
2000-06-28,88.000000,90.937500,88.000000,89.875000,74.500809,1180400
2000-06-29,90.125000,93.125000,88.312500,92.625000,76.780426,1385400
2000-06-30,93.000000,95.937500,92.562500,94.781197,78.567726,2540600
2000-07-03,94.375000,94.937500,93.437500,94.937500,78.697273,453100
2000-07-05,94.375000,97.000000,93.875000,95.937500,79.526260,1077000
